recipient,reasons,bucket_census,tx_count
0x000c9b32e9c724f742948f85eb48410978f99403,top_volume,DORMANT,12946
0x00157dca819a29b1e62aa2f46e523b3630ed49f2,control,GHOST,1
0x002d0d2f9b54c9f5ba4cbd11e422bfcee2aede4d,top_volume,TEST_RIG,129
0x003a6c7f055c693af096810ae55dfa81e0771c95,top_volume,TEST_RIG,8
0x004b692016a05ff9795067a622cef92dffc946aa,top_volume,DORMANT,1635
0x00572b71ff076e3ca723488fa29ec5f85ec6c34a,top_volume,DORMANT,128
0x00605a0032dca4b15c47906b46c39677f35d4c5d,control,GHOST,1
0x0072418cb3afc29c63b4b55961868f9c4cf308b9,control,GHOST,4
0x00a05e36d2590e2b83d10a38df6d95ef575c7329,control,TEST_RIG,5
0x00c0ad8313c7b2606a2d21b3001b925ba6b74409,top_volume,DORMANT,193
0x00c8d088222e3c4de129b88342437a7d7e4e9b65,control,GHOST,1
0x00eee1985e61142b420335ef9addb3ee6ce3279d,top_volume,TEST_RIG,641
0x01081f53acdaaf9a8803a4a51d4d7a6bcc41bbda,control,GHOST,1
0x0111852bd4ad54bad14a5b71a21dc22aaa91ac7e,active_legit_candidate,ACTIVE_LEGITIMATE,29
0x012d5813195776551160b394906f2ee9d682768d,top_volume,DORMANT,9152
0x012ee2d0c7e86e1077238f6a0d236a618dc3d68b,top_volume,TEST_RIG,127
0x013130ad0b11e6b15e5a8e484b982431523e6355,control,GHOST,1
0x014e9203f4dff7ece40d7b5b07f8fda75d5364ef,control,TEST_RIG,8
0x01626695e11a93d5c1849f8c952ae28278b582cf,top_volume,DORMANT,130
0x0163dd6c2c9627d5b6b8726d86905d919d6a122b,control,GHOST,1
0x016739a7ec55943a54db456f5dcfdf6f9f4e29ef,control,GHOST,1
0x01733c18f882e2c4be28bdcb722e8eb710d53ccb,top_volume,LOW_ACTIVITY,1228
0x0176b6cebecc083675f0955a7caf27735ad0c1b8,top_volume,TEST_RIG,812
0x01774839fc9e2115a54b2bfa747d1c153232e7c8,control,GHOST,1
0x0185eb19629fa15dbbab0dcdd59dc1ab772d70ff,control,GHOST,1
0x01b3eb64dcc31aaa5cf4f9f3f59cb81186dc6b25,control,GHOST,1
0x0200675f51b33bfe35489e301e41be5a74a9dce9,top_volume,DORMANT,4008
0x021028695eafdde60e139d87000a8bd6cb65645e,active_legit_candidate,ACTIVE_LEGITIMATE,830
0x0210c68433d152aedbba39dd60431d66a9ecfbb7,control,GHOST,1
0x023986ca19e1f534d344f31973b70c3e366dce55,control,GHOST,1
0x023ec103188a3a32312d9121ec91f97b63ba937b,control,TEST_RIG,6
0x0280c49d9d7f3e7244fdc6915c99a0c7d55a4c25,top_volume,DORMANT,3736
0x02a56feececdf3ef5a580e5bc99c92b02df7480f,top_volume,DORMANT,59
0x02dc6b4de82fff2ecebae0de5f7b30fd559b35ae,control,GHOST,1
0x02deac8eff04a68160885d715849850d3d1baf4a,control,GHOST,1
0x03282f1961ca781ee377d53d8108945beee75d39,control,GHOST,1
0x033a7e2fef13f2c365185c804ba2a93f62b31ae7,control,GHOST,3
0x033c6df44b24138ab891d64b204bb414a7ec6fbf,top_volume,DORMANT,65
0x034128338730855a835a4ab9c16a0fbd27441b0f,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,293304
0x0359181ed69907239163c92db0361cc8ae836896,control,GHOST,1
0x036462cd7a6b1bad9455c33ecf2d1654eb4be80f,active_legit_candidate,ACTIVE_LEGITIMATE,40
0x036b862dd6dbefdca0400568199e441df6bbba77,top_volume,LOW_ACTIVITY,54608
0x036d85935fb8cb5b922da6f59b44c1a0f8abb028,control,GHOST,1
0x037b3abf07cf228d42c7fc114cad0935093a5b17,control,GHOST,3
0x0386eb9323b9298ad8621cd78f6c949b6ad73cdf,control,GHOST,1
0x038c72d81fed7329d8459ce8980da8c027004397,control,GHOST,1
0x0391eb91458c1037333366bc1e91ba6fad7dd836,top_volume,DORMANT,195
0x0395df57f73ae2029fc27a152cd87070bcfbd4a4,control,GHOST,1
0x03c3f6a02455884ce810ea7cdff4c17b53ed6cdd,control,GHOST,1
0x03d773c52b67993e60ecb3134b17436fe03b584c,active_legit_candidate,ACTIVE_LEGITIMATE,1722
0x03ed11fb637b021078a164d6b80f17065d89edf7,top_volume,DORMANT,6420
0x040ae7a16c1f4277214709fc281948b2c07c4e8c,control,TEST_RIG,6
0x042b979121a56839a18a26738a23fd050353485e,top_volume,DORMANT,948
0x04369187dd09ae34167b968a5dc427332ac165ca,control,TEST_RIG,9
0x044827ef09aab1f5e9119db4c814d016bb6fce3b,control,GHOST,3
0x0451cf4084b8e2fd8e3e14e2667f045127898cb4,active_legit_candidate,ACTIVE_LEGITIMATE,121
0x045e8a8ac4031ed614891aad21ac55f781edbd24,control,TEST_RIG,6
0x0472981aac607be63dbb138643ce4b5443be49b1,control,TEST_RIG,36
0x0477db30b1defcf12d05c19904b47b144a9c10bf,control,TEST_RIG,6
0x0495d60c927b97d67d5018c6aa65c9b2bebaeed9,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,207476003
0x04b563909fdafeace9cba26f1848141bd140d741,active_legit_candidate,ACTIVE_LEGITIMATE,408
0x04bce76f4f5d127f48552adda58b868de972ff2d,top_volume,GHOST,1
0x04d500b2956fb59a314f709967ae46135f716e2f,control,GHOST,3
0x04dca2b22d94bf2dc75274cea30979be01af6e77,top_volume,TEST_RIG,127
0x04e18cdc142e0ca0c6e3a3ac69a53fd2dd334628,top_volume,DORMANT,919
0x053371741386031cb9c4fd02b0adb3e75716d378,control,GHOST,3
0x053558cecf7cc945bbd9c769df1289b999cd9a85,control,GHOST,1
0x054ade63d8046e189fbad70fae1e6203f92190ee,active_legit_candidate,ACTIVE_LEGITIMATE,74
0x0550779cfbc832657a8bb46bac9f359a5ad038b8,active_legit_candidate,ACTIVE_LEGITIMATE,132
0x056ab226010fc0947947bd180fff05232402118a,control,GHOST,1
0x056e0169c493a0b32b832d2653feab8d3af8df7d,control,TEST_RIG,7
0x0573c4da7fc31e944e5ff959fef3b42199c308b2,active_legit_candidate,ACTIVE_LEGITIMATE,10667
0x057c24770233a73bbed4d4e694357bda9edcff66,control,TEST_RIG,11
0x057da1f987085de1070979810843c5a2754ce456,active_legit_candidate,ACTIVE_LEGITIMATE,298
0x05970ebca65093f5eb53d980caadf2978f27f8da,control,GHOST,4
0x059ce4b241c4b8844f4515f415313ecc8e40e478,control,GHOST,2
0x059d091d51a0f011c9872eaa63df538f5ce15945,active_legit_candidate,ACTIVE_LEGITIMATE,44
0x05a11b89c4ea514099596f31a80f9107b717709a,top_volume,GHOST,1
0x05ce71c2cab86af566ae5b7842b7f14c58865a2b,control,GHOST,2
0x05f05ecbd76789434c08c52aa7c2bf2d651c5783,top_volume,GHOST,1
0x0613e78ea32bd193d0ba7bad4f4e5323a8f977d8,control,TEST_RIG,20
0x062cd2e066db07dc31683855d6a26a4a4c41e75b,top_volume,DORMANT,4268
0x064d3e48508730fca8e5c3bc6fef041e5da46556,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,2456
0x065a9396b827e5f444665ce35435f8b8ecd19bb3,control,GHOST,1
0x06826ef993290b9b48b9b7b487eadf7b49442451,top_volume,GHOST,1
0x069c6012e053dfbf50390b19fae275ad96d22ed7,active_legit_candidate,ACTIVE_LEGITIMATE,80
